sample_season,month,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
Fall,11,17,1,0.9900000000000091,-0.9900000000000091,100.0,100.0,100.0,0.0
Summer,8,17,1,0.1958823529412215,0.1958823529412215,100.0,100.0,100.0,0.0
Fall,10,1128,31,0.990558510638281,-0.17210106382973503,76.68439716312056,85.63829787234043,93.61702127659575,35.90425531914894
Summer,7,1131,31,1.1014854111405854,-0.054111405835508476,70.38019451812555,82.31653404067197,92.57294429708223,35.98585322723254
Winter,12,1126,31,1.1216429840142055,-0.5872380106571653,72.202486678508,81.52753108348135,99.11190053285968,16.429840142095912
Spring,4,1094,30,1.5940036563071263,-0.38352833638021794,52.6508226691042,59.506398537477146,86.654478976234,23.6745886654479
Spring,5,17,1,1.8794117647058541,-1.8794117647058541,17.647058823529413,17.647058823529413,100.0,0.0
