target_date_et,best_lead_hours,forecast_temp_f,observed_max_f,abs_error_f,forecast_stability
2021-04-01,20.0,85.01000000000008,89.06,4.049999999999926,STABLE
2021-04-02,27.0,74.93000000000004,77.0,2.0699999999999648,STABLE
2021-04-03,10.0,74.03000000000004,73.94,0.09000000000004604,MIXED
2021-04-04,6.0,76.01000000000008,75.92,0.09000000000007446,MIXED
2021-04-05,15.0,76.01000000000008,75.92,0.09000000000007446,UNSTABLE
2021-04-06,17.0,77.99000000000002,77.0,0.9900000000000233,MIXED
2021-04-07,22.0,79.07000000000006,78.98,0.09000000000006025,MIXED
2021-04-08,36.0,79.97000000000006,80.06,0.08999999999994657,MIXED
2021-04-09,30.0,81.05,80.96,0.09000000000000341,UNSTABLE
2021-04-10,30.0,83.03000000000004,84.02,0.9899999999999523,MIXED
2021-04-11,23.0,86.99000000000002,89.06,2.069999999999979,MIXED
2021-04-12,36.0,86.99000000000002,87.08000000000001,0.0899999999999892,MIXED
2021-04-13,36.0,83.93000000000004,87.08000000000001,3.1499999999999773,STABLE
2021-04-14,36.0,81.05,82.04,0.9900000000000091,STABLE
2021-04-15,36.0,83.03000000000004,82.94,0.09000000000004604,STABLE
2021-04-16,36.0,88.07000000000006,87.08000000000001,0.9900000000000517,MIXED
2021-04-17,36.0,88.97000000000006,89.06,0.08999999999994657,UNSTABLE
2021-04-18,35.0,90.05,89.06,0.9899999999999949,UNSTABLE
2021-04-19,36.0,90.05,91.03999999999999,0.9899999999999949,MIXED
2021-04-20,3.0,85.91000000000008,84.02,1.8900000000000858,UNSTABLE
2021-04-21,36.0,85.01000000000008,87.08000000000001,2.0699999999999363,STABLE
2021-04-22,36.0,83.03000000000004,84.02,0.9899999999999523,MIXED
2021-04-23,8.0,83.03000000000004,84.02,0.9899999999999523,MIXED
2021-04-24,29.0,85.91000000000008,86.0,0.08999999999991815,STABLE
2021-04-25,22.0,90.95,91.94,0.9899999999999949,MIXED
2021-04-26,36.0,85.01000000000008,84.91999999999999,0.09000000000008868,MIXED
2021-04-27,27.0,83.03000000000004,84.02,0.9899999999999523,MIXED
2021-04-28,36.0,83.03000000000004,82.94,0.09000000000004604,STABLE
2021-04-29,35.0,85.91000000000008,86.0,0.08999999999991815,MIXED
2021-04-30,11.0,86.99000000000002,87.08000000000001,0.0899999999999892,UNSTABLE
2021-05-01,36.0,88.07000000000006,89.06,0.989999999999938,STABLE
