quarter,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
4,2271,63,1.0555482166446395,-0.3840554821664066,74.63672391017172,83.70761778952004,96.38925583443417,25.979744605900486
3,1148,32,1.0880749128919887,-0.050409407665469766,70.81881533101046,82.57839721254355,92.6829268292683,35.45296167247386
2,1111,31,1.5983708370837044,-0.4064176417641385,52.11521152115212,58.86588658865887,86.85868586858686,23.312331233123313
