sample_season,lead_hour_bucket,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
Fall,24,31,31,0.775161290322567,-0.13064516129027529,87.09677419354838,93.54838709677419,93.54838709677419,35.483870967741936
Fall,23,31,31,0.7751612903225696,-0.12483870967737092,87.09677419354838,93.54838709677419,93.54838709677419,35.483870967741936
Fall,22,31,31,0.7751612903225696,-0.12483870967737092,87.09677419354838,93.54838709677419,93.54838709677419,35.483870967741936
Fall,21,31,31,0.7751612903225696,-0.12483870967737092,87.09677419354838,93.54838709677419,93.54838709677419,35.483870967741936
Fall,25,31,31,0.7170967741935316,-0.1364516129031769,87.09677419354838,93.54838709677419,93.54838709677419,35.483870967741936
Summer,30,31,31,0.9899999999999977,-0.31645161290318785,83.87096774193549,90.32258064516128,93.54838709677419,35.483870967741936
Summer,28,31,31,0.9609677419354817,-0.34548387096770367,83.87096774193549,90.32258064516128,93.54838709677419,35.483870967741936
Summer,31,31,31,0.8738709677419374,-0.3048387096773814,83.87096774193549,90.32258064516128,93.54838709677419,35.483870967741936
Summer,29,31,31,0.9899999999999977,-0.31645161290318785,83.87096774193549,90.32258064516128,93.54838709677419,35.483870967741936
Fall,20,32,32,0.9674999999999883,-0.08437499999995035,81.25,87.5,90.625,34.375
Winter,10,31,31,1.0190322580645084,-0.5487096774193284,77.41935483870968,87.09677419354838,100.0,16.129032258064516
Winter,11,31,31,1.0190322580645088,-0.6067741935483606,77.41935483870968,87.09677419354838,100.0,16.129032258064516
Fall,16,31,31,0.9725806451612758,-0.04935483870962428,74.19354838709677,87.09677419354838,93.54838709677419,35.483870967741936
Fall,26,31,31,0.9087096774193371,-0.33387096774188485,77.41935483870968,87.09677419354838,90.32258064516128,35.483870967741936
Winter,6,31,31,1.0770967741935447,-0.42677419354835605,74.19354838709677,87.09677419354838,100.0,16.129032258064516
Winter,5,31,31,1.0770967741935447,-0.42677419354835605,74.19354838709677,87.09677419354838,100.0,16.129032258064516
Fall,15,31,31,0.9609677419354644,-0.04354838709671992,77.41935483870968,87.09677419354838,96.7741935483871,35.483870967741936
Fall,9,31,31,1.0538709677419158,-0.15387096774188355,77.41935483870968,87.09677419354838,93.54838709677419,35.483870967741936
Fall,8,31,31,1.0887096774193332,-0.24677419354833272,74.19354838709677,87.09677419354838,93.54838709677419,35.483870967741936
Fall,7,31,31,1.0451612903225616,-0.1974193548386539,74.19354838709677,87.09677419354838,93.54838709677419,35.483870967741936
Summer,34,31,31,0.9377419354838731,-0.37451612903221954,83.87096774193549,87.09677419354838,93.54838709677419,35.483870967741936
Summer,35,31,31,0.9377419354838731,-0.37451612903221954,83.87096774193549,87.09677419354838,93.54838709677419,35.483870967741936
Summer,36,31,31,0.9377419354838731,-0.37451612903221954,83.87096774193549,87.09677419354838,93.54838709677419,35.483870967741936
Summer,21,31,31,0.9377419354838735,-0.11322580645157777,77.41935483870968,87.09677419354838,93.54838709677419,35.483870967741936
Summer,26,31,31,0.9667741935483902,-0.2758064516128683,77.41935483870968,87.09677419354838,93.54838709677419,35.483870967741936
Summer,27,31,31,0.9958064516129025,-0.38032258064512436,83.87096774193549,87.09677419354838,93.54838709677419,35.483870967741936
Summer,32,31,31,0.9087096774193582,-0.33967741935480206,83.87096774193549,87.09677419354838,93.54838709677419,35.483870967741936
