lead_hour_bucket,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
25,121,121,1.096363636363633,-0.27371900826442586,72.72727272727273,82.64462809917356,93.38842975206612,28.09917355371901
26,122,122,1.11540983606557,-0.36442622950816067,72.1311475409836,81.9672131147541,92.62295081967213,27.86885245901639
27,122,122,1.1227868852458969,-0.4204918032786518,72.95081967213115,81.9672131147541,92.62295081967213,27.86885245901639
22,121,121,1.122396694214874,-0.2298347107437648,72.72727272727273,81.81818181818183,92.56198347107438,28.09917355371901
21,123,123,1.107073170731705,-0.22756097560971805,73.98373983739837,81.30081300813008,92.6829268292683,27.64227642276423
24,121,121,1.1699999999999955,-0.2640495867768237,70.24793388429752,80.99173553719008,91.73553719008265,28.09917355371901
23,121,121,1.1685123966942117,-0.24471074380161695,70.24793388429752,80.99173553719008,92.56198347107438,28.09917355371901
28,121,121,1.1328099173553643,-0.539256198347069,70.24793388429752,79.33884297520662,94.21487603305785,28.09917355371901
8,123,123,1.187560975609748,-0.2875609756097166,66.66666666666666,78.04878048780488,94.3089430894309,27.64227642276423
30,122,122,1.1950819672131066,-0.5267213114753712,69.67213114754098,77.8688524590164,93.44262295081968,27.86885245901639
29,122,122,1.1877049180327783,-0.5193442622950433,69.67213114754098,77.8688524590164,93.44262295081968,27.86885245901639
2,123,123,1.2036585365853603,-0.11341463414630151,65.04065040650406,77.23577235772358,94.3089430894309,27.64227642276423
3,123,123,1.2036585365853603,-0.11341463414630151,65.04065040650406,77.23577235772358,94.3089430894309,27.64227642276423
16,123,123,1.2299999999999953,-0.21878048780483955,67.47967479674797,77.23577235772358,91.05691056910568,27.64227642276423
15,123,123,1.2197560975609696,-0.2875609756097167,68.29268292682927,77.23577235772358,91.869918699187,27.64227642276423
10,123,123,1.2168292682926773,-0.29195121951215813,65.85365853658537,77.23577235772358,94.3089430894309,27.64227642276423
7,123,123,1.1926829268292611,-0.2590243902438622,65.85365853658537,77.23577235772358,94.3089430894309,27.64227642276423
11,123,123,1.229268292682921,-0.3351219512194758,65.04065040650406,77.23577235772358,93.4959349593496,27.64227642276423
12,123,123,1.2475609756097514,-0.30658536585362234,66.66666666666666,77.23577235772358,92.6829268292683,27.64227642276423
9,123,123,1.20365853658536,-0.2714634146341081,65.85365853658537,77.23577235772358,93.4959349593496,27.64227642276423
0,122,122,1.1759016393442565,-0.17114754098356424,65.57377049180327,77.04918032786885,94.26229508196722,27.86885245901639
20,126,126,1.2314285714285678,-0.1999999999999619,69.84126984126983,76.98412698412699,90.47619047619048,26.984126984126984
1,122,122,1.214262295081961,-0.11213114754094301,64.75409836065575,76.22950819672131,94.26229508196722,27.86885245901639
14,123,123,1.2241463414634084,-0.30658536585361945,68.29268292682927,75.60975609756098,91.869918699187,27.64227642276423
5,123,123,1.221219512195115,-0.15878048780483925,65.04065040650406,75.60975609756098,94.3089430894309,27.64227642276423
17,123,123,1.2460975609756058,-0.23487804878044968,67.47967479674797,75.60975609756098,91.05691056910568,27.64227642276423
6,123,123,1.2065853658536516,-0.15878048780483936,66.66666666666666,75.60975609756098,94.3089430894309,27.64227642276423
4,122,122,1.218688524590157,-0.15639344262291235,64.75409836065575,75.40983606557377,94.26229508196722,27.049180327868854
31,122,122,1.1995081967213053,-0.5104918032786502,67.21311475409836,75.40983606557377,93.44262295081968,27.86885245901639
36,122,122,1.2157377049180271,-0.44557377049176494,70.49180327868852,75.40983606557377,93.44262295081968,27.86885245901639
13,123,123,1.2621951219512142,-0.2817073170731324,65.85365853658537,74.79674796747967,91.869918699187,27.64227642276423
19,123,123,1.2475609756097525,-0.1880487804877672,67.47967479674797,74.79674796747967,91.05691056910568,27.64227642276423
18,122,122,1.2644262295081925,-0.21393442622947006,66.39344262295081,74.59016393442623,90.98360655737704,27.049180327868854
32,122,122,1.1965573770491744,-0.5149180327868472,68.0327868852459,74.59016393442623,93.44262295081968,27.86885245901639
33,122,122,1.2009836065573714,-0.5252459016393062,68.0327868852459,74.59016393442623,94.26229508196722,27.86885245901639
34,122,122,1.200983606557371,-0.5119672131147156,69.67213114754098,74.59016393442623,94.26229508196722,27.86885245901639
35,122,122,1.200983606557371,-0.5119672131147156,69.67213114754098,74.59016393442623,94.26229508196722,27.86885245901639
