season,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
SON,1145,32,0.990550218340595,-0.18424454148466482,77.03056768558952,85.85152838427948,93.7117903930131,35.37117903930131
JJA,1148,32,1.0880749128919887,-0.050409407665469766,70.81881533101046,82.57839721254355,92.6829268292683,35.45296167247386
DJF,1126,31,1.1216429840142055,-0.5872380106571653,72.202486678508,81.52753108348135,99.11190053285968,16.429840142095912
MAM,1111,31,1.5983708370837044,-0.4064176417641385,52.11521152115212,58.86588658865887,86.85868586858686,23.312331233123313
