month,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
8,1147,31,0.7589189189189127,-0.09337401918045343,86.31211857018309,91.80470793374019,100.0,25.806451612903224
1,1132,31,1.0569434628975192,-0.37494699646638857,81.44876325088339,88.78091872791519,98.40989399293287,50.971731448763244
10,1144,31,1.033347902097886,-0.11305069930064746,75.61188811188812,84.44055944055944,92.3076923076923,35.4020979020979
2,1036,28,1.3048262548262493,-0.45277992277989326,64.47876447876449,82.62548262548263,98.26254826254826,46.42857142857143
12,1141,31,1.1199123575810648,-0.592532865907071,72.56792287467134,81.7703768624014,99.12357581069237,16.21384750219106
7,1147,31,1.1532868352223211,0.013809938971264483,69.39843068875327,81.16826503923278,91.28160418482999,35.483870967741936
3,1129,31,1.2208591674047828,0.01060230292298919,70.32772364924712,79.80513728963685,95.3941541186891,64.65899025686448
6,1110,30,1.1091081081081033,-0.15364864864860298,70.990990990991,78.28828828828829,95.76576576576576,36.666666666666664
5,1147,31,1.052458587619874,-0.5184219703574061,71.57802964254577,77.50653879686138,97.7332170880558,45.16129032258064
11,1109,30,1.2139855725879216,0.1643372407574774,68.16952209197476,72.67808836789901,95.85211902614968,23.264201983769162
9,1100,30,1.4516181818181642,-0.2310545454545141,61.0,72.45454545454545,91.9090909090909,13.454545454545455
4,1110,30,1.6294054054054008,-0.4363783783783398,51.891891891891895,58.648648648648646,85.4054054054054,23.333333333333332
