target_date_et,min_forecast_f,max_forecast_f,mean_forecast_f,median_forecast_f,forecast_std_f,first_forecast_f,latest_forecast_f,release_count,forecast_range_f,first_to_latest_change_f,observed_max_f,obs_time_et,obs_hour_et,observed_wdir_deg,observed_max_time_et,observed_wdir_arrow,observed_wdir_cardinal,median_error_f,mean_error_f,latest_error_f,forecast_stability,outcome_class,x
2021-04-01,85.01000000000008,85.01000000000008,85.01000000000008,85.01000000000008,0.0,85.01000000000008,85.01000000000008,21,0.0,0.0,89.06,2021-04-01 14:53:00-04:00,14.883333333333333,140.0,04-01 02:53PM,↖,SE,-4.049999999999926,-4.049999999999926,-4.049999999999926,STABLE,WARM BUST,0
2021-04-02,74.03000000000004,74.93000000000004,74.71108108108112,74.93000000000004,0.39146295258074854,74.03000000000004,74.93000000000004,37,0.8999999999999915,0.8999999999999915,77.0,2021-04-02 12:53:00-04:00,12.883333333333333,20.0,04-02 12:53PM,↓,N,-2.0699999999999648,-2.288918918918881,-2.0699999999999648,STABLE,WARM BUST,1
2021-04-03,72.05,74.93000000000004,73.14945945945948,72.95,1.0587779799423702,72.95,74.93000000000004,37,2.880000000000038,1.9800000000000324,73.94,2021-04-03 16:53:00-04:00,16.883333333333333,60.0,04-03 04:53PM,↙,NE,-0.9899999999999949,-0.790540540540519,0.9900000000000375,MIXED,VERIFIED,2
2021-04-04,74.03000000000004,76.01000000000008,74.59918918918925,74.03000000000004,0.7805922907154127,74.03000000000004,76.01000000000008,37,1.9800000000000324,1.9800000000000324,75.92,2021-04-04 12:53:00-04:00,12.883333333333333,50.0,04-04 12:53PM,↙,NE,-1.889999999999958,-1.3208108108107552,0.09000000000007446,MIXED,VERIFIED,3
2021-04-05,76.01000000000008,79.07000000000006,77.63486486486494,77.99000000000002,1.0770680924044036,76.91000000000008,79.07000000000006,37,3.059999999999988,2.1599999999999824,75.92,2021-04-05 11:53:00-04:00,11.883333333333333,90.0,04-05 11:53AM,←,E,2.0700000000000216,1.7148648648649356,3.1500000000000625,UNSTABLE,COOL MISS,4
2021-04-06,77.99000000000002,79.97000000000006,79.21108108108115,79.07000000000006,0.6829665022848875,79.07000000000006,79.97000000000006,37,1.9800000000000324,0.8999999999999915,77.0,2021-04-06 14:53:00-04:00,14.883333333333333,80.0,04-06 02:53PM,←,E,2.0700000000000642,2.211081081081147,2.9700000000000557,MIXED,COOL MISS,5
2021-04-07,79.07000000000006,81.05,79.84837837837843,79.97000000000006,0.6279309653913139,79.97000000000006,79.97000000000006,37,1.979999999999933,0.0,78.98,2021-04-07 11:53:00-04:00,11.883333333333333,80.0,04-07 11:53AM,←,E,0.9900000000000517,0.8683783783784236,0.9900000000000517,MIXED,COOL MISS,6
2021-04-08,79.97000000000006,81.95,80.67054054054056,81.05,0.7551230434907784,79.97000000000006,79.97000000000006,37,1.9799999999999471,0.0,80.06,2021-04-08 15:53:00-04:00,15.883333333333333,150.0,04-08 03:53PM,↖,SE,0.9899999999999949,0.6105405405405548,-0.08999999999994657,MIXED,VERIFIED,7
2021-04-09,81.05,83.93000000000004,81.51702702702703,81.05,1.0762095646420515,83.93000000000004,81.05,37,2.880000000000038,-2.880000000000038,80.96,2021-04-09 13:53:00-04:00,13.883333333333333,130.0,04-09 01:53PM,↖,SE,0.09000000000000341,0.5570270270270328,0.09000000000000341,UNSTABLE,COOL MISS,8
2021-04-10,81.95,83.03000000000004,82.73810810810815,83.03000000000004,0.4862431824020243,81.95,83.03000000000004,37,1.080000000000041,1.080000000000041,84.02,2021-04-10 15:46:00-04:00,15.766666666666667,130.0,04-10 03:46PM,↖,SE,-0.9899999999999523,-1.2818918918918456,-0.9899999999999523,MIXED,WARM MISS,9
2021-04-11,85.91000000000008,86.99000000000002,86.61054054054058,86.99000000000002,0.5226957153170181,85.91000000000008,86.99000000000002,37,1.0799999999999415,1.0799999999999415,89.06,2021-04-11 14:53:00-04:00,14.883333333333333,230.0,04-11 02:53PM,↗,SW,-2.069999999999979,-2.449459459459419,-2.069999999999979,MIXED,WARM BUST,10
2021-04-12,85.01000000000008,86.99000000000002,85.81270270270275,85.01000000000008,0.9855304512140716,86.99000000000002,85.01000000000008,37,1.9799999999999471,-1.9799999999999471,87.08000000000001,2021-04-12 14:53:00-04:00,14.883333333333333,230.0,04-12 02:53PM,↗,SW,-2.0699999999999363,-1.2672972972972616,-2.0699999999999363,MIXED,WARM MISS,11
2021-04-13,83.03000000000004,83.93000000000004,83.71108108108112,83.93000000000004,0.39146295258074976,83.93000000000004,83.93000000000004,37,0.8999999999999915,0.0,87.08000000000001,2021-04-13 12:53:00-04:00,12.883333333333333,90.0,04-13 12:53PM,←,E,-3.1499999999999773,-3.3689189189188937,-3.1499999999999773,STABLE,WARM BUST,12
2021-04-14,81.05,81.05,81.05,81.05,0.0,81.05,81.05,37,0.0,0.0,82.04,2021-04-14 12:53:00-04:00,12.883333333333333,80.0,04-14 12:53PM,←,E,-0.9900000000000091,-0.9900000000000091,-0.9900000000000091,STABLE,WARM MISS,13
2021-04-15,83.03000000000004,83.03000000000004,83.03000000000004,83.03000000000004,0.0,83.03000000000004,83.03000000000004,37,0.0,0.0,82.94,2021-04-15 15:53:00-04:00,15.883333333333333,160.0,04-15 03:53PM,↑,S,0.09000000000004604,0.09000000000004604,0.09000000000004604,STABLE,COOL MISS,14
2021-04-16,88.07000000000006,90.05,88.43486486486492,88.07000000000006,0.7054613211761855,88.07000000000006,88.97000000000006,37,1.979999999999933,0.8999999999999915,87.08000000000001,2021-04-16 14:53:00-04:00,14.883333333333333,150.0,04-16 02:53PM,↖,SE,0.9900000000000517,1.3548648648649078,1.8900000000000432,MIXED,COOL MISS,15
2021-04-17,88.97000000000006,92.03000000000004,91.0813513513514,92.03000000000004,1.2817049455969078,88.97000000000006,92.03000000000004,37,3.059999999999988,3.059999999999988,89.06,2021-04-17 13:53:00-04:00,13.883333333333333,220.0,04-17 01:53PM,↗,SW,2.9700000000000415,2.0213513513513988,2.9700000000000415,UNSTABLE,VERIFIED,16
2021-04-18,90.05,92.93000000000004,91.39756756756758,90.95,1.3326360789499072,92.93000000000004,90.05,37,2.880000000000038,-2.880000000000038,89.06,2021-04-18 13:53:00-04:00,13.883333333333333,180.0,04-18 01:53PM,↑,S,1.8900000000000006,2.337567567567575,0.9899999999999949,UNSTABLE,COOL MISS,17
2021-04-19,88.97000000000006,90.05,89.49540540540542,88.97000000000006,0.547248646486269,90.05,88.97000000000006,37,1.0799999999999415,-1.0799999999999415,91.03999999999999,2021-04-19 13:53:00-04:00,13.883333333333333,240.0,04-19 01:53PM,↗,SW,-2.0699999999999363,-1.544594594594571,-2.0699999999999363,MIXED,WARM MISS,18
2021-04-20,85.91000000000008,90.05,87.62729729729735,88.07000000000006,0.8470361682184862,90.05,85.91000000000008,37,4.139999999999915,-4.139999999999915,84.02,2021-04-20 12:53:00-04:00,12.883333333333333,210.0,04-20 12:53PM,↗,SW,4.050000000000068,3.6072972972973503,1.8900000000000858,UNSTABLE,COOL MISS,19
2021-04-21,83.93000000000004,85.01000000000008,84.45540540540546,83.93000000000004,0.5472486464863162,85.01000000000008,85.01000000000008,37,1.080000000000041,0.0,87.08000000000001,2021-04-21 13:53:00-04:00,13.883333333333333,250.0,04-21 01:53PM,→,W,-3.1499999999999773,-2.624594594594555,-2.0699999999999363,STABLE,WARM BUST,20
2021-04-22,81.95,83.03000000000004,82.5921621621622,83.03000000000004,0.5375620642986146,83.03000000000004,81.95,37,1.080000000000041,-1.080000000000041,84.02,2021-04-22 12:53:00-04:00,12.883333333333333,100.0,04-22 12:53PM,←,E,-0.9899999999999523,-1.4278378378377994,-2.069999999999993,MIXED,WARM MISS,21
2021-04-23,81.05,83.03000000000004,82.11540540540541,81.95,0.5945427495824804,81.05,83.03000000000004,37,1.9800000000000466,1.9800000000000466,84.02,2021-04-23 12:13:00-04:00,12.216666666666667,80.0,04-23 12:13PM,←,E,-2.069999999999993,-1.9045945945945846,-0.9899999999999523,MIXED,WARM MISS,22
2021-04-24,85.01000000000008,85.91000000000008,85.15594594594602,85.01000000000008,0.3363154889506379,85.01000000000008,85.91000000000008,37,0.9000000000000057,0.9000000000000057,86.0,2021-04-24 15:50:00-04:00,15.833333333333334,160.0,04-24 03:50PM,↑,S,-0.9899999999999238,-0.8440540540539843,-0.08999999999991815,STABLE,WARM MISS,23
2021-04-25,88.97000000000006,90.95,90.34675675675676,90.95,0.847696401543114,88.97000000000006,90.95,37,1.9799999999999471,1.9799999999999471,91.94,2021-04-25 13:53:00-04:00,13.883333333333333,270.0,04-25 01:53PM,→,W,-0.9899999999999949,-1.5932432432432364,-0.9899999999999949,MIXED,WARM MISS,24
2021-04-26,83.93000000000004,85.91000000000008,84.69864864864871,85.01000000000008,0.6663089130182707,85.01000000000008,85.91000000000008,37,1.9800000000000466,0.9000000000000057,84.91999999999999,2021-04-26 10:53:00-04:00,10.883333333333333,80.0,04-26 10:53AM,←,E,0.09000000000008868,-0.2213513513512737,0.9900000000000944,MIXED,VERIFIED,25
2021-04-27,81.05,83.03000000000004,82.05216216216218,81.95,0.7403870426830785,81.05,81.95,37,1.9800000000000466,0.9000000000000057,84.02,2021-04-27 12:53:00-04:00,12.883333333333333,80.0,04-27 12:53PM,←,E,-2.069999999999993,-1.9678378378378198,-2.069999999999993,MIXED,WARM MISS,26
