lead_hour_bucket,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
22,362,362,1.1476243093922618,-0.16209944751377414,71.8232044198895,81.21546961325967,95.02762430939227,34.806629834254146
21,364,364,1.1423076923076878,-0.17950549450545547,72.52747252747253,81.04395604395604,95.05494505494505,34.89010989010989
0,362,362,1.0969060773480614,-0.12878453038670076,70.44198895027624,80.93922651933701,96.68508287292818,35.0828729281768
2,365,365,1.1167397260273924,-0.13586301369859183,70.41095890410959,80.82191780821918,96.43835616438356,34.794520547945204
15,365,365,1.1485479452054743,-0.23572602739722182,72.6027397260274,80.82191780821918,95.61643835616438,34.794520547945204
25,362,362,1.1506077348066266,-0.17651933701653746,71.54696132596685,80.66298342541437,94.7513812154696,34.530386740331494
24,361,361,1.1749861495844833,-0.17675900277004525,70.08310249307479,80.60941828254848,94.45983379501385,34.62603878116344
3,365,365,1.1219178082191734,-0.13019178082187932,69.86301369863014,80.54794520547945,96.43835616438356,34.794520547945204
1,363,363,1.1209090909090855,-0.12272727272723427,69.6969696969697,80.44077134986226,96.69421487603306,34.9862258953168
23,363,363,1.1739669421487564,-0.17479338842971395,69.9724517906336,80.44077134986226,94.76584022038568,34.710743801652896
16,365,365,1.1581643835616389,-0.20934246575338583,71.5068493150685,80.27397260273973,95.34246575342465,34.794520547945204
7,364,364,1.1099175824175769,-0.22821428571424682,70.32967032967034,80.21978021978022,96.15384615384616,34.89010989010989
8,364,364,1.133406593406586,-0.24478021978018194,70.05494505494505,80.21978021978022,95.87912087912088,34.61538461538461
9,365,365,1.13424657534246,-0.23819178082188042,69.86301369863014,80.0,96.16438356164385,34.794520547945204
20,364,364,1.1680219780219736,-0.18692307692303842,71.97802197802197,79.94505494505495,94.78021978021978,34.89010989010989
26,364,364,1.172472527472522,-0.28335164835161186,70.87912087912088,79.94505494505495,94.23076923076923,34.61538461538461
27,364,364,1.1897802197802136,-0.3070879120878757,71.15384615384616,79.94505494505495,94.23076923076923,34.61538461538461
19,364,364,1.15961538461538,-0.19087912087908254,71.7032967032967,79.67032967032966,95.32967032967034,34.89010989010989
18,364,364,1.167032967032962,-0.21065934065930206,71.42857142857143,79.67032967032966,95.32967032967034,34.61538461538461
17,365,365,1.1744383561643787,-0.21526027397256386,70.95890410958904,79.45205479452055,95.34246575342465,34.794520547945204
5,364,364,1.1428021978021927,-0.15576923076919263,69.5054945054945,79.3956043956044,96.15384615384616,34.89010989010989
6,364,364,1.142802197802193,-0.1607142857142479,69.78021978021978,79.3956043956044,96.15384615384616,34.89010989010989
10,364,364,1.1615934065934022,-0.22994505494501782,69.23076923076923,79.3956043956044,96.42857142857143,34.61538461538461
4,362,362,1.136933701657454,-0.13549723756902265,69.61325966850829,79.28176795580112,96.13259668508287,34.530386740331494
14,363,363,1.1739669421487555,-0.21545454545450723,71.62534435261708,79.06336088154269,95.0413223140496,34.43526170798898
28,361,361,1.1981717451523473,-0.3570083102492696,70.08310249307479,78.94736842105263,94.18282548476455,34.62603878116344
11,365,365,1.1734520547945162,-0.2310410958903739,68.21917808219177,78.9041095890411,95.8904109589041,34.794520547945204
12,364,364,1.1848351648351607,-0.2170879120878753,69.78021978021978,78.84615384615384,95.6043956043956,34.61538461538461
29,363,363,1.2230578512396608,-0.3825619834710363,69.6969696969697,77.96143250688705,93.93939393939394,34.710743801652896
13,364,364,1.2016483516483474,-0.19681318681314952,69.23076923076923,77.74725274725274,95.32967032967034,34.61538461538461
30,363,363,1.2285123966942062,-0.38851239669417675,69.9724517906336,77.68595041322314,93.93939393939394,34.710743801652896
36,363,363,1.2409090909090854,-0.2893388429751689,71.34986225895317,76.85950413223141,93.38842975206612,34.710743801652896
31,363,363,1.2438842975206548,-0.3299999999999621,69.14600550964187,76.5840220385675,93.66391184573003,34.43526170798898
32,363,363,1.2423966942148692,-0.3295041322313673,69.6969696969697,76.30853994490359,93.66391184573003,34.710743801652896
35,364,364,1.23626373626373,-0.3199450549450171,70.6043956043956,76.0989010989011,93.68131868131869,34.61538461538461
34,363,363,1.2329752066115636,-0.3215702479338467,70.79889807162535,76.03305785123968,93.66391184573003,34.710743801652896
33,364,364,1.2503571428571363,-0.3281043956043579,68.95604395604396,75.82417582417582,93.95604395604396,34.61538461538461
