season,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
DJF,3309,90,1.1562647325475917,-0.4743427017225413,73.07343608340888,84.43638561498942,98.60985191900876,37.56421879721971
JJA,3404,92,1.0059958871915364,-0.07691245593416242,75.61692126909519,83.81316098707403,95.68155111633374,32.608695652173914
SON,3353,91,1.2303131524008253,-0.06001789442286422,68.35669549657024,76.61795407098121,93.34923948702655,24.18729495973755
MAM,3386,92,1.2977436503248643,-0.31513290017715523,64.70761961015948,72.09096278795039,92.91199054932073,44.50679267572357
