quarter,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
4,3396,92,1.3344964664310843,-0.6404151943462519,60.95406360424028,75.44169611307422,94.69964664310953,32.685512367491164
3,3403,92,1.4720540699382858,-0.07669703203052686,54.65765501028505,71.46635321774905,90.94916250367324,38.025271818983256
2,2661,74,1.6986020293122728,-0.6985569334836131,49.75573092822248,62.119503945885,88.53814355505449,44.081172491544535
