target_date_et,best_lead_hours,forecast_temp_f,observed_max_f,abs_error_f,forecast_stability
2020-04-16,4.0,90.05,89.96000000000001,0.0899999999999892,UNSTABLE
2020-04-17,28.0,86.99000000000002,87.08000000000001,0.0899999999999892,MIXED
2020-04-18,8.0,90.05,91.94,1.8900000000000006,MIXED
2020-04-19,32.0,90.05,89.96000000000001,0.0899999999999892,MIXED
2020-04-20,1.0,94.01000000000008,96.08000000000001,2.0699999999999363,UNSTABLE
2020-04-21,21.0,90.95,93.02,2.069999999999993,MIXED
2020-04-22,0.0,88.07000000000006,89.06,0.989999999999938,MIXED
2020-04-23,6.0,88.07000000000006,87.98,0.09000000000006025,MIXED
2020-04-24,25.0,94.01000000000008,95.0,0.9899999999999238,UNSTABLE
2020-04-25,36.0,90.05,91.94,1.8900000000000006,MIXED
2020-04-26,12.0,86.99000000000002,87.08000000000001,0.0899999999999892,MIXED
2020-04-27,12.0,85.01000000000008,87.08000000000001,2.0699999999999363,MIXED
2020-04-28,36.0,81.95,82.94,0.9899999999999949,STABLE
2020-05-01,5.0,83.03000000000004,82.94,0.09000000000004604,UNSTABLE
2020-05-02,35.0,83.03000000000004,82.94,0.09000000000004604,MIXED
2020-05-03,36.0,83.03000000000004,82.94,0.09000000000004604,UNSTABLE
2020-05-04,36.0,85.91000000000008,86.0,0.08999999999991815,UNSTABLE
2020-05-05,36.0,86.99000000000002,87.08000000000001,0.0899999999999892,MIXED
2020-05-06,36.0,90.95,91.03999999999999,0.0899999999999892,MIXED
2020-05-07,0.0,85.91000000000008,86.0,0.08999999999991815,STABLE
2020-05-08,36.0,83.03000000000004,82.94,0.09000000000004604,STABLE
2020-05-09,15.0,86.99000000000002,86.0,0.9900000000000233,MIXED
2020-05-10,26.0,79.97000000000006,78.98,0.9900000000000517,MIXED
2020-05-11,36.0,83.03000000000004,84.02,0.9899999999999523,MIXED
2020-05-12,26.0,83.03000000000004,84.91999999999999,1.8899999999999437,MIXED
2020-05-13,27.0,81.95,82.94,0.9899999999999949,UNSTABLE
2020-05-14,36.0,81.05,80.06,0.9899999999999949,STABLE
2020-05-15,9.0,81.05,80.96,0.09000000000000341,MIXED
2020-05-16,36.0,88.07000000000006,89.06,0.989999999999938,UNSTABLE
2020-05-17,24.0,88.97000000000006,89.06,0.08999999999994657,UNSTABLE
2020-05-18,2.0,85.91000000000008,86.0,0.08999999999991815,UNSTABLE
2020-05-19,26.0,88.07000000000006,87.08000000000001,0.9900000000000517,MIXED
2020-05-20,36.0,90.95,91.94,0.9899999999999949,UNSTABLE
2020-05-21,36.0,88.07000000000006,91.03999999999999,2.969999999999928,MIXED
