month,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
8,1147,31,1.068857890148223,-0.04974716652131559,70.96774193548387,86.92240627724499,99.8256320836966,19.35483870967742
7,1147,31,1.0595204882301783,0.27612031386230057,75.93722755013079,79.07585004359198,95.640802092415,45.16129032258064
9,1110,30,1.2664054054053928,-0.520783783783752,66.93693693693695,77.56756756756756,94.86486486486486,20.0
5,1139,31,1.0795258999121966,-0.2989991220368264,62.071992976295,76.90956979806847,95.96136962247586,12.993854258121159
11,1110,30,1.3657297297297153,-0.8239459459459016,55.22522522522523,73.42342342342343,97.02702702702702,46.666666666666664
6,1096,30,1.4683302919707963,-0.38734489051091675,53.558394160583944,71.53284671532847,90.96715328467153,32.93795620437956
2,1036,28,1.2853667953667802,-0.4628571428570996,61.003861003861005,71.23552123552123,97.49034749034749,57.14285714285714
10,1147,31,1.3700087183957927,-0.1522231909328199,65.03923278116827,70.88055797733217,91.45597210113338,32.25806451612903
12,1147,31,1.3322667829119546,-0.03444638186568624,59.19790758500436,70.61900610287707,95.7279860505667,29.03225806451613
1,1119,31,1.4183646112600392,-0.943029490616585,57.10455764075068,68.45397676496873,89.99106344950849,32.2609472743521
3,1147,31,1.3920575414123608,-0.8012118570182618,58.23888404533566,67.13164777680906,91.28160418482999,41.935483870967744
4,1110,30,1.4483513513513333,-0.9625135135134602,60.54054054054055,66.3963963963964,90.09009009009009,43.333333333333336
