season,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
JJA,3390,92,1.1948495575221294,-0.04863716814155014,67.02064896755162,79.29203539823008,95.54572271386431,32.47787610619469
SON,3367,91,1.3344431244431079,-0.49517374517370366,62.42946242946243,73.92337392337393,94.41639441639441,32.967032967032964
MAM,3396,92,1.305636042402812,-0.6854946996465938,60.27679623085983,70.17078916372202,92.46171967020024,32.685512367491164
DJF,3302,90,1.3467292549969654,-0.4767655966080727,59.055118110236215,70.07874015748031,94.33676559660812,38.94609327680194
