forecast_stability,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range,observed_wdir_cardinal,forecast_wdir_cardinal,range_bucket
STABLE,6475,176,1.2537590733590642,-0.47907799227794867,64.74131274131274,77.22007722007721,94.64092664092664,15.86100386100386,,,
MIXED,5649,153,1.2752788104089143,-0.41721189591073654,61.47990794830943,72.10125685962117,95.06107275624004,45.05222163214728,,,
UNSTABLE,1331,36,1.5794966190833928,-0.2069797145003274,53.04282494365139,60.18031555221638,88.27948910593538,77.7610818933133,,,
,3247,88,1.215928549430242,-0.2839975361872007,65.93778872805667,81.8601786264244,95.87311364336311,46.68925161687712,SE,,
,4070,110,1.0965847665847543,-0.5519410319409899,66.14250614250614,77.002457002457,97.54299754299754,32.72727272727273,E,,
,1258,34,1.323958664546891,-0.6928139904610031,65.18282988871225,72.33704292527821,96.26391096979332,32.35294117647059,NE,,
,1162,32,1.296247848537004,-0.33552495697069873,59.98278829604131,69.10499139414802,97.24612736660929,36.74698795180723,S,,
,947,26,1.440855332629353,-0.43935586061242016,56.59978880675819,67.5818373812038,91.23548046462513,27.34952481520591,NW,,
,958,26,1.5704906054279584,-0.30410229645089915,54.27974947807933,66.80584551148226,87.16075156576201,23.173277661795407,SW,,
,1258,34,1.4476550079491106,-0.547941176470539,59.37996820349761,65.42130365659777,89.82511923688395,26.47058823529412,W,,
,555,15,2.074378378378371,0.16637837837841588,39.27927927927928,47.927927927927925,75.67567567567568,20.0,N,,
,621,54,1.2537681159420284,0.465652173913088,73.91304347826086,77.45571658615137,91.62640901771336,26.247987117552334,,W,
,2460,129,1.2120000000000006,-0.25917073170727617,67.27642276422763,77.19512195121952,95.1219512195122,43.41463414634146,,SE,
,3536,145,1.2521097285067742,-0.6469004524886455,58.39932126696833,76.01809954751131,96.06900452488688,29.949095022624434,,E,
,2255,125,1.3181507760532123,-0.4299645232815483,64.83370288248337,73.61419068736141,94.05764966740577,42.39467849223947,,S,
,1358,86,1.2783578792341506,-0.47206921944030855,63.18114874815905,73.26951399116346,93.66715758468335,36.22974963181149,,SW,
,2111,86,1.3363145428706598,-0.8033917574608704,62.29275225011843,71.81430601610612,93.84178114637612,30.838465182378023,,NE,
,667,35,1.2976461769115515,0.4610644677661595,56.97151424287856,67.1664167916042,94.45277361319341,11.094452773613193,,NW,
,443,31,1.8818735891647849,-0.2058013544017656,39.954853273137694,42.21218961625282,81.03837471783297,32.05417607223476,,N,
,8283,225,1.2811336472292538,-0.4915067004708006,63.52770735240855,75.38331522395268,94.0842689846674,19.980683327296873,,,narrow_<=1.5F
,3988,108,1.2387412236710085,-0.3885255767301452,62.38716148445336,73.44533600802407,96.2136409227683,50.82748244734202,,,medium_1.5-3F
,1184,32,1.5816891891891887,-0.09608108108103333,52.44932432432432,59.20608108108109,88.09121621621621,78.125,,,wide_>3F
