quarter,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
3,3404,92,1.1301292596944805,-0.09354289071676117,71.32784958871915,81.22796709753231,96.7978848413631,28.26086956521739
2,3345,91,1.329309417040348,-0.548125560538072,58.77428998505232,71.6591928251121,92.37668161434978,29.596412556053814
4,3404,92,1.3558960047003434,-0.3315775558166385,59.870740305522915,71.62162162162163,94.71210340775558,35.869565217391305
1,3302,90,1.3674984857661858,-0.7431132646880255,58.721986674742574,68.86735311932163,92.79224712295579,43.4282253179891
