quarter,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
1,3315,90,1.2895927601809851,-0.20742081447959462,65.58069381598793,78.88386123680242,94.96229260935142,31.251885369532427
3,3400,92,1.1313529411764598,-0.41389411764703543,69.58823529411765,78.14705882352942,96.52941176470588,28.294117647058826
2,3360,91,1.315044642857126,-0.4644910714285322,58.0952380952381,73.03571428571428,96.04166666666667,33.035714285714285
4,3380,92,1.6814023668638831,-0.8988284023668183,45.32544378698225,59.97041420118343,89.64497041420118,13.757396449704142
