lead_hour_bucket,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
0,364,364,1.1971978021977905,-0.4119230769230385,64.28571428571429,76.92307692307693,97.52747252747253,26.64835164835165
1,364,364,1.2117857142857018,-0.36469780219776454,64.56043956043956,76.92307692307693,97.25274725274726,26.64835164835165
2,365,365,1.2247397260273845,-0.4036438356164,63.561643835616444,76.43835616438356,96.98630136986301,26.575342465753426
7,364,364,1.2407142857142717,-0.44851648351644413,64.56043956043956,76.0989010989011,96.15384615384616,26.373626373626376
3,365,365,1.2489041095890279,-0.4332328767122901,62.73972602739726,75.34246575342466,96.7123287671233,26.575342465753426
4,365,365,1.245698630136973,-0.3925479452054403,63.013698630136986,75.06849315068493,96.43835616438356,26.575342465753426
6,365,365,1.2501369863013567,-0.3930410958903715,63.83561643835617,75.06849315068493,96.16438356164385,26.575342465753426
8,364,364,1.2639560439560293,-0.5048901098900702,62.637362637362635,75.0,95.87912087912088,26.373626373626376
5,365,365,1.2466849315068362,-0.386136986301331,63.83561643835617,74.79452054794521,96.16438356164385,26.575342465753426
9,364,364,1.2674175824175682,-0.5039010989010594,62.08791208791209,73.9010989010989,95.87912087912088,26.373626373626376
26,364,364,1.4063736263736104,-0.5484065934065555,59.065934065934066,73.62637362637363,93.13186813186813,26.64835164835165
25,363,363,1.4117355371900675,-0.4542148760330212,60.33057851239669,73.55371900826447,92.56198347107438,26.72176308539945
10,363,363,1.2892561983470927,-0.5147107438016142,60.33057851239669,73.27823691460054,95.86776859504133,26.446280991735538
11,364,364,1.2946153846153694,-0.53357142857139,60.71428571428571,73.07692307692307,95.6043956043956,26.373626373626376
27,364,364,1.4221978021977855,-0.6008241758241377,57.14285714285714,73.07692307692307,92.85714285714286,26.64835164835165
22,362,362,1.4156353591160065,-0.4499999999999638,59.392265193370164,72.92817679558011,92.81767955801105,26.519337016574585
23,362,362,1.4071823204419736,-0.4465193370165381,59.66850828729282,72.65193370165746,92.81767955801105,26.795580110497237
21,363,363,1.397107438016513,-0.4837190082644272,60.05509641873278,72.45179063360881,93.1129476584022,26.446280991735538
24,363,363,1.4025619834710583,-0.45396694214872374,59.50413223140496,72.45179063360881,92.8374655647383,26.72176308539945
13,364,364,1.323791208791194,-0.4969780219779845,59.89010989010989,71.97802197802197,94.78021978021978,26.373626373626376
12,364,364,1.3143956043955896,-0.5098351648351259,60.16483516483516,71.97802197802197,95.32967032967034,26.373626373626376
19,364,364,1.3739835164835017,-0.469532967032931,59.89010989010989,71.97802197802197,93.95604395604396,26.373626373626376
18,363,363,1.373553719008249,-0.4829752066115334,59.22865013774105,71.900826446281,93.93939393939394,26.446280991735538
17,364,364,1.3742307692307536,-0.49401098901095214,58.791208791208796,71.7032967032967,93.95604395604396,26.373626373626376
20,364,364,1.3865934065933914,-0.48016483516479963,59.89010989010989,71.7032967032967,93.4065934065934,26.373626373626376
28,364,364,1.4372802197802037,-0.5743681318680934,55.769230769230774,71.15384615384616,92.58241758241759,26.64835164835165
16,363,363,1.3490082644627952,-0.49661157024789665,58.67768595041323,71.07438016528926,94.76584022038568,26.446280991735538
15,363,363,1.36239669421486,-0.5219008264462434,57.85123966942148,70.79889807162535,94.76584022038568,26.446280991735538
14,364,364,1.3618681318681154,-0.5291208791208409,58.51648351648352,70.32967032967034,94.78021978021978,26.373626373626376
29,364,364,1.4506318681318515,-0.576840659340621,55.494505494505496,70.32967032967034,92.58241758241759,26.64835164835165
30,364,364,1.4501373626373462,-0.5946428571428184,55.219780219780226,69.78021978021978,92.3076923076923,26.64835164835165
31,363,363,1.4427272727272578,-0.5724793388429374,56.473829201101935,69.6969696969697,92.8374655647383,26.72176308539945
36,363,363,1.4523966942148616,-0.5563636363635985,55.64738292011019,69.14600550964187,92.01101928374655,26.72176308539945
34,362,362,1.4474585635358954,-0.5767955801104596,56.07734806629834,69.06077348066299,92.26519337016575,26.795580110497237
32,363,363,1.4481818181818018,-0.5923140495867394,56.19834710743802,68.87052341597796,93.1129476584022,26.72176308539945
33,363,363,1.4605785123966772,-0.5784297520660777,55.64738292011019,68.87052341597796,92.56198347107438,26.72176308539945
35,363,363,1.4635537190082488,-0.5769421487602928,55.64738292011019,68.87052341597796,92.01101928374655,26.72176308539945
