season,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
JJA,3398,92,1.0851383166568453,-0.1272395526780244,71.24779281930547,80.28251912889935,96.76280164802826,29.399646851088875
MAM,3399,92,1.1921624007060756,-0.6183759929390569,64.87202118270079,76.4342453662842,96.88143571638717,35.92233009708738
DJF,3293,90,1.5730185241421066,-0.2842666261766987,57.66778013969025,70.99908897661706,91.22380807774067,23.109626480413
SON,3365,91,1.576190193164912,-0.9578781575036674,44.54680534918277,62.080237741456166,92.18424962852897,17.59286775631501
