month,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range
3,1147,31,0.842955536181344,-0.05327811682646258,83.17349607672189,89.7122929380994,99.4768962510898,45.16129032258064
7,1143,31,0.9118110236220321,-0.1689763779527386,78.91513560804898,84.07699037620297,99.03762029746281,22.659667541557305
5,1142,31,1.1730735551663565,-0.8072416812609006,60.68301225919439,80.21015761821366,97.02276707530648,38.879159369527144
6,1108,30,1.2033032490974673,0.4332671480144708,63.26714801444043,79.87364620938628,97.0216606498195,36.73285198555957
8,1147,31,1.1437140366172482,-0.6270967741935314,71.31647776809066,76.89625108979948,94.2458587619878,29.03225806451613
9,1110,30,1.3446486486486458,-0.4457837837837475,58.198198198198206,73.33333333333333,96.30630630630631,33.33333333333333
1,1132,31,1.6247703180211903,0.04738515901064439,57.685512367491164,73.32155477031802,92.226148409894,13.074204946996467
2,1036,28,1.4178474903474678,-0.6564961389960937,54.729729729729726,72.97297297297297,92.95366795366795,35.714285714285715
12,1125,31,1.6638399999999933,-0.27519999999996897,60.355555555555554,66.84444444444443,88.62222222222222,21.6
10,1145,31,1.6302969432314034,-1.330663755458457,34.23580786026201,61.135371179039296,91.52838427947599,3.2314410480349345
4,1110,30,1.5726486486486222,-1.0079999999999578,50.27027027027027,58.828828828828826,94.05405405405406,23.333333333333332
11,1110,30,1.7519189189188966,-1.0854324324323852,41.53153153153153,51.80180180180181,88.73873873873875,16.666666666666664
