target_date_et,release_time_et,forecast_temp_f,hours_before_target_anchor,forecast_wdir_deg,forecast_wdir_cardinal,lead_hour_bucket,observed_max_f,obs_time_et,observed_wdir_deg,forecast_stability,min_forecast_f,max_forecast_f,forecast_range_f,observed_wdir_cardinal,abs_error_f,signed_error_f,within_1f,within_2f,within_3f,verified_in_daily_range,target_dt,month,quarter,season,sample_season
2020-04-16,2020-04-16 12:00:00-04:00,90.05,4.0,50.0,NE,4,89.96000000000001,2020-04-16 14:53:00-04:00,160.0,UNSTABLE,86.99000000000002,90.05,3.059999999999974,S,0.0899999999999892,0.0899999999999892,True,True,True,True,2020-04-16,4,2,MAM,Spring
2020-04-16,2020-04-16 13:00:00-04:00,90.05,3.0,50.0,NE,3,89.96000000000001,2020-04-16 14:53:00-04:00,160.0,UNSTABLE,86.99000000000002,90.05,3.059999999999974,S,0.0899999999999892,0.0899999999999892,True,True,True,True,2020-04-16,4,2,MAM,Spring
2020-04-16,2020-04-16 14:00:00-04:00,86.99000000000002,2.0,30.0,NE,2,89.96000000000001,2020-04-16 14:53:00-04:00,160.0,UNSTABLE,86.99000000000002,90.05,3.059999999999974,S,2.9699999999999847,-2.9699999999999847,False,False,True,True,2020-04-16,4,2,MAM,Spring
2020-04-16,2020-04-16 15:00:00-04:00,86.99000000000002,1.0,30.0,NE,1,89.96000000000001,2020-04-16 14:53:00-04:00,160.0,UNSTABLE,86.99000000000002,90.05,3.059999999999974,S,2.9699999999999847,-2.9699999999999847,False,False,True,True,2020-04-16,4,2,MAM,Spring
2020-04-16,2020-04-16 16:00:00-04:00,86.99000000000002,0.0,30.0,NE,0,89.96000000000001,2020-04-16 14:53:00-04:00,160.0,UNSTABLE,86.99000000000002,90.05,3.059999999999974,S,2.9699999999999847,-2.9699999999999847,False,False,True,True,2020-04-16,4,2,MAM,Spring
2020-04-17,2020-04-16 12:00:00-04:00,86.99000000000002,28.0,110.0,E,28,87.08000000000001,2020-04-17 11:53:00-04:00,110.0,MIXED,85.01000000000008,86.99000000000002,1.9799999999999471,E,0.0899999999999892,-0.0899999999999892,True,True,True,False,2020-04-17,4,2,MAM,Spring
2020-04-17,2020-04-16 13:00:00-04:00,86.99000000000002,27.0,110.0,E,27,87.08000000000001,2020-04-17 11:53:00-04:00,110.0,MIXED,85.01000000000008,86.99000000000002,1.9799999999999471,E,0.0899999999999892,-0.0899999999999892,True,True,True,False,2020-04-17,4,2,MAM,Spring
2020-04-17,2020-04-16 14:00:00-04:00,85.01000000000008,26.0,105.0,E,26,87.08000000000001,2020-04-17 11:53:00-04:00,110.0,MIXED,85.01000000000008,86.99000000000002,1.9799999999999471,E,2.0699999999999363,-2.0699999999999363,False,False,True,False,2020-04-17,4,2,MAM,Spring
2020-04-17,2020-04-16 15:00:00-04:00,85.01000000000008,25.0,105.0,E,25,87.08000000000001,2020-04-17 11:53:00-04:00,110.0,MIXED,85.01000000000008,86.99000000000002,1.9799999999999471,E,2.0699999999999363,-2.0699999999999363,False,False,True,False,2020-04-17,4,2,MAM,Spring
2020-04-17,2020-04-16 16:00:00-04:00,85.01000000000008,24.0,105.0,E,24,87.08000000000001,2020-04-17 11:53:00-04:00,110.0,MIXED,85.01000000000008,86.99000000000002,1.9799999999999471,E,2.0699999999999363,-2.0699999999999363,False,False,True,False,2020-04-17,4,2,MAM,Spring
