forecast_stability,n_forecasts,n_target_days,mae_f,bias_f,pct_within_1f,pct_within_2f,pct_within_3f,pct_verified_in_range,observed_wdir_cardinal,forecast_wdir_cardinal,range_bucket
STABLE,3934,107,1.2848678190137177,-0.5153609557701729,61.36248093543467,78.67310625317742,95.57702084392476,18.81037112353838,,,
MIXED,4168,113,1.5432581573896234,-0.42443378118998176,53.9827255278311,67.44241842610364,90.16314779270633,45.24952015355087,,,
UNSTABLE,1358,38,1.895699558173778,-0.36689248895430393,43.446244477172314,54.565537555228275,84.60972017673049,70.02945508100147,,,
,2737,74,1.1493167701863316,-0.04156375593712239,67.48264523200585,80.85495067592254,94.66569236390208,45.92619656558276,SE,,
,3610,99,1.4585734072022079,-0.3549390581717047,58.03324099722992,71.0803324099723,91.85595567867037,45.6786703601108,E,,
,333,9,2.780540540540522,-1.5448648648648218,35.43543543543544,66.36636636636636,76.87687687687688,22.22222222222222,NW,,
,888,24,1.4490202702702422,-1.1101013513513165,43.13063063063063,65.65315315315316,95.38288288288288,29.166666666666668,NE,,
,856,24,1.5608060747663468,-0.348539719626135,49.532710280373834,61.79906542056075,95.56074766355141,22.19626168224299,S,,
,555,15,1.8650270270270084,-1.1388648648648345,36.21621621621622,56.3963963963964,85.76576576576576,13.333333333333334,W,,
,222,6,1.7497297297297112,-1.212162162162121,45.04504504504504,46.846846846846844,83.78378378378379,16.666666666666664,N,,
,259,7,2.6176447876447844,-0.7717760617760265,33.204633204633204,45.559845559845556,68.33976833976834,14.285714285714285,SW,,
,160,16,1.4557499999999943,0.12937500000002666,50.0,91.875,98.125,16.875,,N,
,2024,92,1.3001086956521626,-0.35893280632407587,64.1798418972332,76.03754940711462,94.0711462450593,43.77470355731226,,SE,
,3725,136,1.3740644295301923,-0.44482953020130317,57.93288590604027,73.93288590604027,92.85906040268456,47.24832214765101,,E,
,1198,67,1.5155008347245373,0.11020868113525954,56.26043405676127,65.52587646076795,91.48580968280467,30.550918196994992,,S,
,1160,53,1.4793362068965323,-0.8833189655172035,50.258620689655174,64.91379310344828,93.36206896551724,21.89655172413793,,NE,
,215,11,3.0553953488372105,-1.8380930232557724,47.44186046511628,61.86046511627907,78.6046511627907,17.209302325581397,,NW,
,686,33,1.9281778425655973,-0.30896501457722153,38.921282798833815,57.288629737609334,81.19533527696792,29.44606413994169,,SW,
,252,21,1.825714285714262,-1.3342857142856832,36.11111111111111,53.17460317460318,87.6984126984127,13.492063492063492,,W,
,40,3,2.6819999999999453,-2.398499999999939,0.0,22.5,52.5,27.500000000000004,,NA,
,5155,140,1.368593598448099,-0.5122754607177145,58.564500484966054,75.30552861299708,94.58777885548012,22.250242483026188,,,narrow_<=1.5F
,3206,87,1.5017592014971806,-0.40845290081094004,55.021834061135365,67.65439800374298,89.27011852776045,50.748596381784154,,,medium_1.5-3F
,1099,31,1.9941674249317518,-0.3134030937215265,42.857142857142854,54.23111919927207,84.53139217470428,73.06642402183805,,,wide_>3F
